"name","rank_overall","rank_presence","rank_impact","rank_open","rank_excellence"
"Maulana Azad Medical College","4842","17176","10575","7356","3282"
"National Institute for Biotechnology and Genetic Engineering","4843","18674","18130","3563","3068"
"Universität der Künste Berlin","4843","4360","1744","6634","6084"
"Queens University of Charlotte","4845","9296","2630","5114","6084"
"Fachhochschule Joanneum","4845","4640","3003","4911","6084"
"Maastricht School of Management","4847","13921","7039","7356","4164"
"Saint Peters University","4847","8603","2880","4758","6084"
"East Stroudsburg University","4850","7871","3090","4489","6084"
"Islamic Azad University Varamin","4850","9794","12956","5466","3886"
"Institut National des Postes et Telecommunications Maroc","4850","17272","11587","5373","4073"
"Mazandaran University of Sciences and Technology Babol","4850","15597","14754","4534","3626"
"Universidad Nacional de Jujuy","4854","5012","8132","7356","4121"
"Universidad Estatal Península de Santa Elena","4854","767","7505","5990","5022"
"Universidad Ricardo Palma","4854","2060","6290","6823","4882"
"Roseman University of Health Sciences (University of Southern Nevada)","4854","13702","3254","3779","6084"
"National University of Lesotho","4858","4243","10562","4835","4585"
"Russian Armenian State University / Российско-Армянский Славянский университет","4858","3007","8189","5009","5022"
"Agricultural University Plovdiv / Аграрен университет","4860","10532","9790","4064","4768"
"Salt Lake Community College","4860","5532","2505","5659","6084"
"Shanghai University of Health Sciences / 上海医药高等专科学校","4860","9082","9389","7356","3764"
"Baldwin Wallace University","4863","6887","2377","5725","6084"
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco","4863","9409","15649","3431","3839"
"Nara University of Education / 奈良教育大学","4863","5057","4922","7356","4768"
"National Institute of Industrial Engineering Nitie","4863","6726","8640","7356","3979"
"Saint Leo University","4867","6823","2197","5973","6084"
"Catawba College","4867","7420","1874","7356","5624"
"Universidad Nacional de Lanús","4867","5963","4688","4872","5624"
"Faculdade de Medicina de Marília","4870","8709","13274","4847","4031"
"Russian Presidential Academy of National Economy and Public Administration / Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации","4870","755","1258","7356","6084"
"Manukau Institute of Technology","4872","10094","5372","7240","4673"
"Mackay Junior College of Medicine Nursing and Management / 馬偕學校財團法人 - 馬偕醫護管理專科學校","4872","9269","10272","7356","3566"
"York College of Pennsylvania","4872","8498","3025","4649","6084"
"Fondazione Edmund Mach di San Michele all'Adige (Istituto Agrario)","4872","3794","5560","1156","6084"
"Hochschule Niederrhein","4872","6204","3412","4215","6084"
"National Louis University","4877","8039","1654","6654","6084"
"University Ovidius / Universitatea Ovidius din Constanța","4877","3764","19097","2338","3495"
"Universidad de Sucre","4879","4998","10552","3860","4768"
"Sharda University","4879","5640","4857","1819","6084"
"Universidad Tecnológica Indoamérica","4881","2548","13256","4135","4332"
"Xiangnan University / 湘南学院","4882","8476","3920","7356","5022"
"Technische Hochschule Deggendorf (Hochschule für Angewandte Wissenschaften Deggendorf)","4882","8759","4818","4542","5624"
"Novosibirsk State University of Economics and Management / Новосибирский государственный университет экономики и управления","4882","3092","4288","3164","6084"
"Point Loma Nazarene University","4885","7674","3656","3740","6084"
"Universidad Galileo","4885","1565","6127","7168","4768"
"Islamic Azad University Roudehen","4887","4746","12716","4018","4389"
"Institute of Space Technology","4888","11734","9913","3348","4882"
"Bellevue University","4888","9234","1868","7356","5624"
"Centennial College Toronto","4890","4235","2373","6041","6084"
"Islamic University Kushtia","4890","17650","9997","3924","4673"
"Nebraska Wesleyan University","4890","7916","3969","7356","5022"
"Universidad Autónoma de Guadalajara","4890","8738","5745","7038","4768"
"AIMS Community College","4894","8688","1287","7073","6084"
"Military Technical College","4894","20911","16675","3833","3333"
"Sochi State University of Tourism and Spa Industry / Сочинский государственный университет","4896","11998","8200","7356","4031"
"Open Colleges","4897","8804","983","7356","6084"
"Faculdade de Tecnología e Ciencias de Feira de Santana FTC","4897","5590","4568","7356","4882"
"Wessex Institute of Technology","4897","17001","4351","7356","4768"
"(1) Berhampur University","4897","15759","11801","4617","4274"
"Guilin University of Electronic Technology / 桂林电子科技大学","4901","5518","3435","4392","6084"
"ranking","","","","",""
"Yasuda Women's University / 安田女子大学","4901","6538","6759","7356","4389"
"Daegu Gyeongbuk Institute of Science & Technology","4903","2187","6382","841","6084"
"Majmaah University","4903","2314","5254","1891","6084"
"P T Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences Rohtak","4905","14938","10372","7356","3471"
"The Chinese University of Hong Kong Shenzhen / 香港中文大学（深圳）","4905","1863","5233","2046","6084"
"Lone Star College","4907","3194","1481","7128","6084"
"Universidad Católica Boliviana San Pablo","4907","188","7568","7356","4534"
"Hochschule für Oekonomie & Management","4907","6311","3534","4202","6084"
"Huaiyin Institute of Technology / 淮阴工学院","4907","6431","2891","7356","5341"
"Helsinki Metropolia University of Applied Sciences (Evtek, Stadia)","4911","2205","2641","6041","6084"
"Cabrillo College","4911","4410","1104","7356","6084"
"University of Bielsko-Biala / Akademia Techniczno Humanistyczna w Bielsku-Białej","4913","5590","18685","3341","3358"
"New England College of Optometry","4913","14117","7416","7356","4164"
"Pibulsongkram Rajabhat University","4915","2533","4122","3771","6084"
"Royal College of Psychiatrists","4915","8160","1019","7356","6084"
"(4) Universidad Internacional Isabel I de Castilla (Universidad Privada Internacional de Burgos)","4915","9139","8226","4604","5022"
"Islamic Azad University Garmsar","4918","8852","12955","6142","3764"
"Jawaharlal Nehru Technological University Kakinada","4918","13866","9486","7240","3839"
"Universidad EAN","4918","4823","8279","4091","5178"
"Al Madinah International University","4918","2511","3549","4729","6084"
"Korea National University of Education / 한국교원대학교","4922","4559","9004","7356","4031"
"Agricultural University of Iceland / Landbúnaðarháskóli Íslands","4922","1335","10565","7356","3797"
"American University of Paris","4924","7594","2910","5155","6084"
"Excelsior College","4924","6700","1048","7356","6084"
"Samara State Economic University / Самарский государственный экономический университет","4926","3957","9711","7356","3886"
"Università degli Studi di Napoli L'Orientale (Istituto Universitario Orientale di Napoli)","4927","3177","3886","4116","6084"
"Academy of Physical Education in Cracow / Akademia Wychowania Fizycznego Bronisława Czecha w Krakowie","4927","5151","9517","4513","4882"
"North Central College","4927","6759","2047","7356","5624"
"National University of Science & Technology","4927","6311","11340","3196","4768"
"Bindura University of Science Education","4931","1701","13586","3642","4454"
"VNUHCM International University / Trường Đại học Quốc tế","4931","7155","4495","2533","6084"
"Marietta College","4933","4183","1575","7038","6084"
"School of the Art Institute of Chicago","4933","3787","1299","7240","6084"
"Institution of Mechanical Engineers IMechE","4935","3054","1178","7356","6084"
"Xuzhou Medical University / 徐州医科大学","4936","6098","7904","7356","4215"
"Jožef Stefan International Postgraduate School Ljubljana / Mednarodna podiplomska šola Jožefa Stefana","4937","10706","15729","7356","2357"
"Universitas Muhammadiyah Yogyakarta","4937","546","1442","7356","6084"
"Glasgow School of Art","4937","5462","2273","6247","6084"
"Université de Ngaoundéré","4940","2514","14493","5990","3691"
"Alverno College","4940","8354","2024","7356","5624"
"Central Conservatory of Music / 中央音乐学院","4940","4790","1133","7356","6084"
"Universidad de Holguín Oscar Lucero Moya","4940","2883","13366","3991","4389"
"Matsuyama University / 松山大学","4944","7026","4656","7356","4882"
"IÉSEG School of Management","4944","10236","4446","2415","6084"
"Universidad Finis Terrae","4946","10863","10130","7356","3653"
"School of Pedagogical and Technological Education","4946","5041","3981","3773","6084"
"Culinary Institute of America","4946","12076","984","7356","6084"
"Matsumoto Dental University / 松本歯科大学","4949","15450","9783","7356","3653"
"Isra University","4949","11774","11750","5861","4121"
"George Brown College","4951","4779","2134","6476","6084"
"Des Moines University","4951","7124","3817","3873","6084"
"Florida A&M University and Florida State University FAMU FSU College of Engineering","4951","10489","14736","7356","2595"
"Seowon University / 서원대학교","4951","2381","9331","7356","4073"
"Universidad Autónoma Gabriel René Moreno","4951","2065","10546","7356","3797"
"Albright College","4956","8160","1719","6777","6084"
"Brenau University","4956","6385","2130","7356","5624"
"Yala Rajabhat University","4956","3132","3665","4627","6084"
"École Nationale d'Ingénieurs de Tarbes ENIT (comUE Université de Toulouse)","4959","15907","8493","3072","5178"
"Higher Technological Institute","4959","11008","9912","5935","4454"
"Kryvyi Rih National University / Криворізький національний університет","4959","9652","14212","3461","4215"
"Rutgers The State University of New Jersey Newark","4959","5309","4103","3599","6084"
"Quy Nhon University / Đại học Quy Nhơn","4963","10948","12245","4555","4332"
"Universita degli Studi della Repubblica di San Marino","4964","6664","7992","7356","4215"
"Libera Università di Lingue e Comunicazione (IULM Istituto universitario di lingue moderne)","4965","4779","4204","3549","6084"
"Taiz University","4966","1494","13239","7073","3525"
"Islamic Azad University Tonekabon","4966","12095","15660","4241","3718"
"Escola Brasileira de Administração Pública e de Empresas, Fundação Getulio Vargas","4966","11650","9880","7356","3718"
"City Colleges of Chicago","4969","5320","2651","5896","6084"
"Shanghai University of Political Science and Law / 上海政法学院","4969","3769","3255","7356","5341"
"Universidad Peruana Unión","4969","2168","2506","7356","5624"
"Fachhochschule Potsdam","4972","5429","2357","6247","6084"
"Niigata University of Health and Welfare / 新潟医療福祉大学","4972","8623","8956","7128","4215"
"University of Shizuoka / 静岡県立大学","4972","3938","4420","3297","6084"
"Universidad Católica Silva Henriquez","4975","623","7765","5655","5178"
"University of Education Winneba","4975","2083","8416","3547","5341"
"Fitchburg State University","4975","6726","2664","5791","6084"
"Instituto Mauá de Tecnología","4975","9021","9566","4346","4882"
"Nippon Veterinary and Life Science University / 日本獣医生命科学大学","4979","10894","9499","7356","3839"
"Masinde Muliro University of Science & Technology","4980","2526","12664","3722","4585"
"City College of San Francisco","4980","4049","2011","6731","6084"
"Avinashilingam University for Women","4983","12013","11811","4049","4534"
"Christ University Bengaluru","4983","3588","5278","2052","6084"
"Oslo Metropolitan University","4983","1829","6295","1264","6084"
"University of Saint Thomas Houston","4983","7389","3280","4891","6084"
"Columbia College of Missouri","4987","6633","1134","7356","6084"
"Inland Norway University of Applied Sciences","4987","2125","4875","3019","6084"
"John Brown University","4989","7239","3783","7356","5178"
"Sevastopol National Technical University / Севастопольский государственный университет","4989","5309","10436","4496","4768"
"Washington & Jefferson College","4989","3214","1747","7038","6084"
"Prescott College","4989","4998","3610","6654","5624"
"American University of Central Asia","4989","4372","6941","6925","4768"
"ESIC Escuela Superior de Gestión Comercial y Marketing","4989","4339","3751","4473","6084"
"Fachhochschule Wiener Neustadt","4989","10298","6196","7356","4534"
"Warren Wilson College","4996","14619","1913","7356","5624"
"Saitama Institute of Technology / 埼玉工業大学","4996","6275","7895","7356","4274"
"Ivano Frankivsk National Technical University of Oil and Gas / Івано Франківський національний технічний університет нафти і газу","4996","3612","5536","7356","4768"
"University of Trinidad and Tobago","4999","787","13252","3264","4673"
"Art Center College of Design","4999","6098","1154","7356","6084"
"Ebonyi State University","5001","21081","14163","4450","3839"
"Universidad Autónoma del Carmen","5001","7389","10932","3846","4768"
"ranking","","","","",""
"Hochschule für Technik Rapperswil","5003","3130","3647","4869","6084"
"Duke Kunshan University / 昆山杜克大学","5003","6055","3077","5362","6084"
"École pour l'Informatique et les Techniques Avancees","5005","6275","2897","5611","6084"
"Rajamangala University of Technology Lanna","5005","1335","3958","4745","6084"
"Courtauld Institute of Art","5007","7509","1137","7356","6084"
"Fachhochschule Bielefeld","5007","4949","3676","4576","6084"
"Universitas Wahid Hasyim UNWAHAS","5007","4295","4113","3956","6084"
"Semyung University / 세명대학교","5010","1475","8791","7356","4274"
"Ukrainian State University of Chemical Engineering / Український державний хіміко-технологічний університет","5010","7674","18494","2811","3600"
"Universidade José do Rosário Vellano Alfenas","5010","4746","8438","6237","4768"
"Hamad Bin Khalifa University","5010","7674","5834","1098","6084"
"(1) Saveetha University","5014","10083","12062","7356","3282"
"China Central Academy of Fine Arts / 中央美术学院","5014","4204","1233","7356","6084"
"University of Central Punjab","5014","8634","9280","7356","3979"
"(3) Loyola Law School Los Angeles","5018","6633","2774","5779","6084"
"International University of Monaco","5018","11107","8159","6634","4585"
"PSG College of Arts and Science","5020","20209","16290","2661","3839"
"Universidad Fasta Mar del Plata","5020","3377","5662","7356","4768"
"Monroe Community College","5022","4403","1239","7356","6084"
"Okanagan College","5022","4714","3245","5322","6084"
"Universitas Atma Jaya Yogyakarta","5024","1383","5120","3020","6084"
"Universidad de Cienfuegos Carlos Rafael Rodríguez","5024","2272","11139","4436","4768"
"Universidad Católica de Cuenca","5026","262","10002","4076","5178"
"University of Balochistan","5026","11467","11158","4452","4585"
"Vinnitsa National Pirogov Memorial Medical University / Вінницький національний медичний університет М І Пирогова","5026","4790","4997","2496","6084"
"Hochschule Offenburg","5026","3381","4074","4246","6084"
"Dagestan State University / Дагестанский государственный университет","5026","3953","6526","7356","4585"
"Universidad Laica Eloy Alfaro de Manabi","5031","558","8603","7356","4389"
"Seton Hill University","5032","3829","1283","7356","6084"
"Haute École Valaisanne","5032","3318","5500","2004","6084"
"Universitas Darma Persada UNSADA","5034","5343","3228","5326","6084"
"École Nationale Supérieure des Mines de Saint Étienne","5035","10393","5977","7356","4585"
"Academy of Art University San Francisco","5035","6887","1177","7356","6084"
"Universidad Nacional de la Patagonia Austral","5037","3637","9657","6871","4389"
"Suzuka University of Medical Science / 鈴鹿医療技術大学","5037","8429","9430","7356","3979"
"Teerthanker Mahaveer University Moradabad","5037","5480","10203","1414","5341"
"Universitas Muhammadiyah Surabaya","5037","4372","4054","4167","6084"
"Universidad Nacional de Catamarca","5041","5790","8636","6670","4585"
"Indiana Wesleyan University","5041","8942","1703","6925","6084"
"Sri Chandrasekharendra Saraswathi Viswa Maha Vidyalaya","5041","9139","12873","4211","4389"
"Moscow State University of Food Production / Московский государственный университет пищевых производств","5041","7089","4534","3064","6084"
"Niigata Institute of Technology / 新潟工科大学","5041","6204","8421","7356","4215"
"Oakton Community College","5041","6925","1186","7356","6084"
"Universidad Sergio Arboleda","5041","5374","5512","7356","4768"
"Emek Yezreel College","5041","7194","11143","3870","4768"
"Volgograd Medical Academy / Волгоградский государственный медицинский университет","5049","1776","7495","7356","4534"
"Indiana University Kokomo","5049","11418","5503","4174","5624"
"Hochschule für Technik, Wirtschaft und Kultur Leipzig","5051","3035","2911","6041","6084"
"Karaganda State University Buketov / Карагандинский государственный университет Е А Букетова","5051","2422","8662","3550","5341"
"West Virginia University Institute of Technology","5051","14576","5352","7356","4673"
"Daejeon University / 대전대학교","5051","5577","9037","7356","4121"
"Islamic Azad University Qom","5051","7239","12766","7356","3220"
"Universitat Ramon Llull La Salle Campus Barcelona","5056","3845","4331","3817","6084"
"Saint Petersburg State University of Economics / Санкт Петербургский государственный экономический университет","5056","2213","4558","3767","6084"
"National Taiwan University of Arts / 國立臺灣藝術大學","5058","1945","3697","7356","5341"
"Instituto Universitario CEMIC","5059","15082","12135","7356","3220"
"Christian University Dimitrie Cantemir","5060","9717","9475","6086","4585"
"Pennsylvania College of Technology","5061","5429","1253","7356","6084"
"Universidade Salgado de Oliveira UNIVERSO","5062","5705","10483","7356","3797"
"Lee University","5063","7718","2343","7356","5624"
"Novosibirsk State Medical University / Новосибирский государственный медицинский университет","5063","5689","9563","7356","4031"
"Murang’a University of Technology","5065","2513","3945","4763","6084"
"Olivet Nazarene University","5065","6405","1231","7356","6084"
"Asian Institute of Management","5065","13956","6945","5239","5178"
"Universidade Anhembi Morumbi","5065","7194","5041","7356","4882"
"Universidad Mariana Pasto Nariño","5065","5374","5704","4511","5624"
"Hsiuping University of Science & Technology / 修平科技大學","5070","2504","8190","7356","4389"
"University of Papua New Guinea","5070","20953","10383","7356","3525"
"European University Saint Petersburg / Европейский Университет в Санкт-Петербурге","5070","6405","4421","3469","6084"
"Copperbelt University","5073","4222","13286","5276","4215"
"Guilford College","5073","9218","1175","7356","6084"
"Suzhou Vocational University / 苏州市职业大学","5073","7194","5487","7356","4768"
"Thomas University","5073","17434","7348","7356","4274"
"Butte College","5077","9401","1174","7356","6084"
"Université Saint Paul","5077","6431","5548","7356","4768"
"Lala Lajpat Rai University of Veterinary and Animal Sciences","5079","6961","13992","4417","4215"
"Netanya Academic College","5079","7054","7903","7356","4332"
"Donetsk National University / Донецький національний університет","5079","4899","7452","2821","5624"
"Athlone Institute of Technology","5082","10112","4640","2869","6084"
"Hokkaido University of Science / 北海道科学大学","5082","5198","6596","7356","4585"
"Instituto Federal de Educação Ciência e Tecnologia do Ceará","5082","1915","5378","2722","6084"
"Marywood University","5082","6726","3219","5409","6084"
"Hanoi University of Civil Engineering / Trường Đại học Xây Dựng","5086","5883","6052","4152","5624"
"Centre International d'Études Pédagogiques CIEP (comUE Sorbonne Universités)","5087","1701","1528","7356","6084"
"Hochschule RheinMain","5087","5031","3716","4851","6084"
"Kirkwood Community College","5087","6700","1250","7356","6084"
"University of Petrosani","5090","8669","10231","3492","5022"
"Ziauddin University","5090","13877","10774","4885","4585"
"École Nationale Supérieure de mécanique et d'Aérotechnique de Poitiers ISAE ENSMA (comUE Université confédérale Léonard de Vinci)","5090","11299","7188","2497","5624"
"Sukhothai Thammathirat Open University","5093","1156","4414","4462","6084"
"Centro Universitário Eurípides de Marília UNIVEM","5093","5109","6006","5769","5341"
"CEPT University Center for Environmental Planning & Technology State University","5095","3027","5668","5012","5624"
"Harper College","5095","5403","1306","7356","6084"
"(3) Université de Tunis Institut Supérieur de Gestion de Tunis","5095","14406","14925","3786","4073"
"Middle Georgia State University","5095","8952","2790","5885","6084"
"Ryazan State Radioengineering University / Рязанский государственный радиотехнический университет","5099","4472","7622","7356","4454"
"Islamic Azad University Shahr Majlesi","5100","5173","12518","6634","3926"
"(1) Kosin University / 고신대학교","5100","3031","10493","7356","3926"
"Aquinas College Grand Rapids Michigan","5100","8160","1232","7356","6084"
"D’Youville College","5103","7274","1838","6954","6084"
"ranking","","","","",""
"Hogeschool Zeeland","5104","13685","6032","7356","4585"
"Linn Benton Community College","5104","5320","1332","7356","6084"
"Oral Roberts University","5104","4403","2633","7356","5624"
"Politeknik Negeri Malang","5104","4421","4816","3247","6084"
"University of Texas System","5108","1634","1569","7356","6084"
"Delta State University","5108","4497","2090","6871","6084"
"(3) Universidad de la República Facultad de Ciencias","5108","5828","5990","1461","6084"
"Fundação Dom Cabral FDC","5111","8326","5766","6925","5022"
"Hochschule Anhalt","5112","5640","3750","4846","6084"
"Instituto Tecnológico de Veracruz","5112","13235","13057","5551","4073"
"Maryville College","5112","11094","2317","7356","5624"
"Toulouse Business School (comUE Université de Toulouse)","5112","5640","4514","3588","6084"
"Institut Agama Islam Negeri IAIN Kendari","5116","5640","3619","5092","6084"
"Community College of Southern Nevada","5116","6610","1297","7356","6084"
"Clark College","5118","9197","1238","7356","6084"
"Hochschule Heilbronn","5118","5109","3556","5221","6084"
"University of Rzeszow / Uniwersytet Rzeszowski","5118","1931","5526","2698","6084"
"Universidade de Cruz Alta UNICRUZ","5121","5390","9418","4767","5022"
"Corporación Universitaria Minuto de Dios UNIMINUTO","5121","472","5214","3759","6084"
"Niigata University of Pharmacy and Applied Life Sciences / 新潟薬科大学","5121","5374","11305","7356","3691"
"Islamic Azad University Parand","5121","14684","14082","4860","4031"
"Great Basin College","5125","8961","2448","7356","5624"
"Huaiyin Normal University / 淮阴师范学院","5125","7026","2434","6490","6084"
"Lake Erie College of Osteopathic Medicine","5127","16770","2749","5581","6084"
"Prefectural University of Kumamoto / 熊本県立大学","5127","5109","8031","7356","4389"
"Centro Universitario de la Defensa","5127","12166","15009","7356","2706"
"Dhurakijpundit University","5127","3324","5106","3102","6084"
"Naval Academy in Gdynia / Akademia Marynarki Wojennej Bohaterów Westerplatte w Gdyni","5131","4569","9099","4331","5178"
"Bucks County Community College","5132","6759","1324","7356","6084"
"Naropa University","5132","8295","1281","7356","6084"
"Universidad Politécnica de Pachuca","5132","10520","14955","4668","3979"
"Alexander Dubček University of Trenčín in Trenčín / Trencianska univerzita Alexandra Dubceka v Trencíne","5132","3206","9775","7356","4121"
"Santa Rosa Junior College","5136","2970","1509","7356","6084"
"German University of Technology in Oman","5136","5532","11543","5409","4534"
"Guiyang University of Chinese Medicine / 贵阳中医学院","5136","23604","3866","7356","5022"
"Tokyo Kasei University / 東京家政大学","5139","4823","7394","7356","4534"
"Tafila Technical University","5139","11577","13359","2803","4585"
"Saint Louis Community College","5141","6168","1373","7356","6084"
"Hochschule Konstanz","5141","5883","3847","4789","6084"
"Universidad Tecnológica de Chile INACAP","5143","863","5705","5611","5624"
"SUNY College of Optometry","5143","12338","6085","5407","5341"
"Tokyo Keizai University / 東京経済大学","5145","3372","4478","7356","5178"
"(1) Sana'a University","5146","16009","15807","6439","3141"
"Columbus State Community College","5147","6961","1356","7356","6084"
"Broward College","5148","4940","1433","7356","6084"
"Islamic Azad University Zahedan","5148","7347","12904","6823","3764"
"West Bengal University of Animal and Fishery Sciences","5148","21091","12872","5275","4073"
"Pasadena City College","5151","8402","1309","7356","6084"
"Samara State Academy of Social Sciences and Humanities / Поволжская Государственная Социально-Гуманитарная Академия","5151","7194","4749","3311","6084"
"CUNY Lehman College","5153","4098","1487","7356","6084"
"Niigata University of International and Information Studies / 新潟国際情報大学","5153","6149","8066","7356","4389"
"Carroll College Helena Montana","5153","7674","1345","7356","6084"
"Institut Seni Indonesia Denpasar","5153","3447","3985","4953","6084"
"ESAN Graduate School of Business","5157","1115","4292","4987","6084"
"California Institute of Integral Studies","5158","7124","2225","6754","6084"
"Dalat University / Đại học Đà Lạt","5158","5705","10479","3875","5022"
"(3) Melbourne Business School","5158","14805","5127","2081","6084"
"Universidad Técnica de Cotopaxi","5158","1449","7021","5743","5341"
"Concordia University Saint Paul","5162","6610","1771","7128","6084"
"Universidade São Judas Tadeu","5163","12143","7780","3985","5341"
"Sichuan Conservatory of Music / 四川音乐学院","5163","6098","1423","7356","6084"
"Politeknik Negeri Ujung Pandang","5165","4085","4548","4046","6084"
"Dr Y S Parmar University of Horticulture and Forestry","5165","15907","10225","2286","5178"
"Saint John's College","5165","7594","1384","7356","6084"
"Tohoku Institute of Technology / 東北工業大学","5165","6759","7717","7356","4454"
"Pontificia Università Gregoriana / Pontifical Gregorian University","5165","5622","4970","7356","5022"
"Haute École d'Ingénierie et de Gestion du Canton de Vaud","5170","4930","5531","2416","6084"
"Howard Community College","5170","6007","1429","7356","6084"
"Kanagawa Institute of Technology / 神奈川工科大学","5170","10989","7747","7356","4389"
"Hochschule Pforzheim","5173","4874","4076","4707","6084"
"Carson Newman University","5173","3823","1534","7356","6084"
"Noakhali University of Science & Technology","5173","16313","11237","4677","4585"
"Technological Education Institute of Lamia","5173","10198","9501","7356","4073"
"Universidad del Valle de México","5177","8116","7649","7356","4454"
"Lynn University","5177","7155","1581","7240","6084"
"Madison Area Technical College","5179","4559","1498","7356","6084"
"Tele-Université TÉLUQ","5179","5041","4467","4069","6084"
"West Valley College","5179","9086","1353","7356","6084"
"Agroecological Zhitomir National University / Житомирський національний агроекологічний університет","5179","4421","5462","2626","6084"
"Universidade de Marilia UNIMAR","5183","12360","10759","5021","4673"
"Sher-i-Kashmir Institute of Medical Sciences SKIMS","5184","7916","11558","7356","3653"
"Conestoga College","5184","4834","3083","6120","6084"
"International University of Business Agriculture and Technology University of Dhaka","5184","17472","11263","4179","4673"
"Sukachev Institute of Forest / Институт Леса В Н Сукачёва","5187","14833","12474","7356","3306"
"Glyndŵr University","5187","5867","4008","4745","6084"
"Hokkai Gakuen University / 北海学園大学","5187","6385","8551","7356","4332"
"Devry University","5187","12985","1256","7356","6084"
"Minot State University","5187","7420","2318","6731","6084"
"Universidad de Camaguey","5187","22481","12689","3200","4534"
"Sindh Agriculture University","5187","15506","12614","3499","4585"
"Seattle Central Community College","5187","6961","1430","7356","6084"
"Sebha University /Sabha University","5195","4235","16285","2940","4274"
"University of Economics Ho Chi Minh City / Trường Đại học Kinh tế Thành phố Hồ Chí Minh","5195","1955","5004","3896","6084"
"Universidad Privada Antenor Orrego","5197","1976","8566","4455","5341"
"VIA University College","5198","5577","3713","5300","6084"
"Neelain University","5198","575","12604","5963","4454"
"Islamic Azad University Neishabour","5200","9636","14641","6847","3382"
"Beijing Film Academy / 北京电影学院","5200","5450","1506","7356","6084"
"Caritas Institute of Higher Education (Caritas Francis Hsu College)","5202","12415","10088","7356","3926"
"Korea National Open University / 한국방송통신대학교","5202","3266","7726","6516","5022"
"ranking","","","","",""
"Université de Béchar","5202","11855","14829","3906","4215"
"(4) Keiser University","5205","7549","2762","6360","6084"
"Quest International University Perak","5206","15714","4183","3791","6084"
"Open University Malaysia","5207","5374","6857","4045","5624"
"Pädagogische Hochschule Ludwigsburg","5207","4143","4175","4820","6084"
"Dalton State College","5207","8884","2821","6247","6084"
"Universitas Jenderal Achmad Yani","5207","7274","4450","4051","6084"
"AAB University / Kolegji AAB","5211","820","5336","3846","6084"
"Lane Community College","5211","4758","1554","7356","6084"
"Millsaps College","5211","16978","3946","7356","5178"
"Universitas Komputer Indonesia UNIKOM","5211","351","6443","2779","6084"
"Université Côte d'Azur (comUE Université Côte d'Azur)","5215","3343","5882","2451","6084"
"Lutsk National Technical University / Луцький Національний Технічний Університет","5215","6538","11829","4640","4673"
"Osaka University of Pharmaceutical Sciences / 大阪薬科大学","5215","12685","9733","7356","4031"
"Hunan International Economics University / 湖南涉外经济学院","5218","7509","3729","7356","5341"
"Juilliard School","5218","6385","1507","7356","6084"
"Central State University","5218","12858","2639","6304","6084"
"Fachhochschule Vorarlberg","5221","6678","4220","4526","6084"
"University of Greenland / Ilisimatusarfik / Grønlands Universitet","5221","6848","10610","7356","3926"
"Sapientia Hungarian University of Transylvania","5221","4056","5555","2817","6084"
"Universitas Pembangunan Nasional Veteran Jawa Timur","5221","3177","5115","3660","6084"
"Vincennes University","5225","4098","1609","7356","6084"
"Universidade de Contestado","5225","7718","9350","6468","4673"
"Baker College","5225","9919","1415","7356","6084"
"European Business School Schloss Reichartshausen","5225","13423","3668","4924","6084"
"Northern State University","5225","7631","1477","7356","6084"
"Saint Mary's College Notre Dame","5230","5738","3239","5999","6084"
"Osaka Dental University / 大阪歯科大学","5231","10471","8717","7356","4274"
"Hainan College of Vocation and Technique / 海南职业技术学院","5232","12759","1350","7356","6084"
"Keuka College","5232","14219","2521","7356","5624"
"International Tishk University (Ishik University)","5234","4002","4707","4134","6084"
"Manhattanville College","5234","9072","3224","5851","6084"
"Sierra College","5234","6823","1521","7356","6084"
"Changsha University / 长沙学院","5234","9086","1455","7356","6084"
"Institut Informatika dan Bisnis Darmajaya","5238","4823","1598","7356","6084"
"École Européenne de Chimie, Polymères et Matériaux de Strasbourg","5238","17236","13648","7356","3042"
"TAFE NSW Degrees","5238","2367","1754","7356","6084"
"Chicago School of Professional Psychology","5241","9892","4545","3838","6084"
"Moscow State University of Psychology and Education / Московский городской психолого-педагогический университет","5241","2933","5538","3107","6084"
"Johnson County Community College","5244","5041","1594","7356","6084"
"Red Rocks Community College","5245","10278","1437","7356","6084"
"National Institute for Research & Development in Informatics / Institutul Național de Cercetare Dezvoltare în Informatică","5246","9021","4554","3931","6084"
"(3) Shenzhen Graduate School Peking University / 北京大学深圳研究生院","5247","4790","5600","2785","6084"
"Satakunta University of Applied Sciences / Satakunnan ammattikorkeakoulu SAMK","5247","10359","6529","7356","4673"
"Citrus College","5247","6792","1546","7356","6084"
"Bakersfield College","5250","6098","1572","7356","6084"
"Foothill College","5250","7124","1538","7356","6084"
"Universidade Municipal de São Caetano do Sul USCS","5250","4527","5219","3439","6084"
"Universidad Internacional Menéndez Pelayo UIMP","5253","4605","3045","7356","5624"
"Universitas Islam Negeri UIN Sunan Ampel Surabaya","5253","953","4462","7356","5341"
"Taylor University","5255","4790","2758","6634","6084"
"Astrakhan State University / Астраханский государственный университет","5255","3048","7625","5397","5341"
"Vasyl Stefanyk Precarpathian National University / Прикарпатський національний університет Василя Стефаника","5255","3637","11412","7356","3886"
