"name","rank_overall","rank_presence","rank_impact","rank_open","rank_excellence"
"Université de Nice / Université Nice Sophia Antipolis (comUE Université Côte d'Azur)","466","990","590","495","510"
"Medical University of South Carolina","466","3365","860","358","356"
"Jefferson (Philadelphia University and Thomas Jefferson University)","468","2285","744","431","406"
"Ryerson University","469","1269","393","558","636"
"University of Missouri Kansas City","469","1509","294","664","711"
"University of Idaho","471","1255","277","512","802"
"East China University of Science & Technology / 华东理工大学","471","378","897","772","353"
"Hiroshima University / 広島大学","473","263","584","580","545"
"King Abdulaziz University","474","467","2223","666","102"
"Kobe University / 神戸大学","475","614","670","552","491"
"China University of Geosciences / 中国地质大学","475","1150","895","1051","291"
"University of Rhode Island","475","1203","261","447","854"
"Universidad de Salamanca","478","157","489","371","682"
"Waseda University / 早稲田大学","479","548","616","543","532"
"Eötvös Loránd University Budapest / Eötvös Loránd Tudományegyetem ELTE","480","393","456","402","687"
"Hong Kong Baptist University","480","828","480","625","590"
"Technische Universität Graz","482","758","459","515","634"
"Università degli Studi di Catania","482","630","1145","467","310"
"Université de Liège","484","344","849","690","392"
"Medizinische Universität Wien","485","1973","1391","263","259"
"Xidian University / 西安电子科技大学","487","744","792","883","375"
"Shanghai University / 上海大学","488","1807","724","675","411"
"Illinois Institute of Technology","488","1351","307","499","785"
"Renmin University of China / 中国人民大学","490","89","297","1236","745"
"Lehigh University","491","1234","293","349","857"
"University of Science & Technology Beijing / 北京科技大学","492","1539","809","898","352"
"Pontificia Universidad Católica de Chile","492","255","851","769","397"
"Jagiellonian University / Uniwersytet Jagielloński","494","231","538","2265","393"
"(1) Università Cattolica del Sacro Cuore","495","582","1149","277","365"
"Universidad de Málaga","496","440","525","390","662"
"King Abdullah University of Science & Technology","496","1719","1358","214","294"
"City University London","496","1195","419","415","710"
"(3) University of Texas Health Science Center at San Antonio","496","2174","794","237","474"
"University of Plymouth","500","2308","556","498","550"
"Swedish University of Agricultural Sciences / Sveriges Lantbruksuniversitet","501","620","973","382","414"
"ranking","","","","",""
"Universidad de Oviedo","501","588","833","393","482"
"National University of Ireland NUI Galway","503","1090","691","308","558"
