Land,Stadt,Start,Laufzeit [Typ],"Laufzeit [min,m]","Laufzeit [max,m]",Schule-1,rank_overall,rank_presence,rank_impact,rank_open,rank_excellence,Studiengang,Schule,Beschreibung,Abschluss,Modus,Sprache,Unterrichtstyp
USA,Medford,Aug,,,,,,,,,,MSc in Data Science,Tufts University - School of Engineering,The M.S. in Data Science is offered jointly by the departments of Computer Science and Electrical and Computer Engineering.                                    ,Master,Full-time,English,Campus
Italy,Milan,,years,24,,,,,,,,MSc in Data Science and Business Analytics,University Bocconi,"This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be                                             ...                                                    +                        ",Master,Full-time,English,Campus
USA,Albuquerque,Apr,years,24,,,,,,,,MSCS - Security Analyst specialization,EC-Council University,The Security Analyst specialization focuses on testing methods and techniques to effectively identify and mitigate risks to the security of a company’s infrastructure while pr                                            ...                                                    +                        ,Master,Full-time,English,Online
Australia,Perth,,years,24,,,,,,,,Master of Predictive Analytics,Curtin University,This course addresses the growing demand for data analysts and scientists that have the right blend of technical and analytical skills to meet big data analytics challenges. I                                            ...                                                    +                        ,Master,Full-time,English,Campus
Russia,Moscow,Sep,years,24,,,,,,,,Master of Science in Data Science,The Skolkovo Institute of Science and Technology (Skoltech),Data scientists are going to be among the most demanded specialists on the hi-tech market. Our program is created to meet this demand and to equip the most talented young scie                                            ...                                                    +                        ,Master,Full-time,English,Campus
Italy,Rome,Apr,,,,,,,,,,Master in Data Science,Rome Business School,"Data Science is the concept to unify statistics, data analysis, machine learning and understand analyze actual phenomena with data with a scope to increase business profitabil                                            ...                                                    +                        ",Master,Part-time,English,Campus
United Arab Emirates,Dubai,Sep,,,,,,,,,,MSc Data Science,Middlesex University Dubai,The role of a data scientist is rapidly becoming a required position for any company that wishes to take full advantage of the data they collect. There is an increased demand                                             ...                                                    +                        ,Master,Full-time,English,Campus
USA,Cambridge,Sep,,,,,,,,,,"Online Master in Data Science (The University of California, San Diego)",edX,UCSD’s Master of Data Science will give you the skills required to become a successful data scientist. Through a rigorous curriculum developed by the world’s topmost experts i                                            ...                                                    +                        ,Master,Full-time,English,Online
USA,Cambridge,Sep,,,,,,,,,,Online Master in Analytics (Georgia Tech),edX,"The Georgia Tech Online Master of Science in Analytics (OMS Analytics) is a multidisciplinary degree in collaboration with Georgia Tech’s College of Engineering, College of Co                                            ...                                                    +                        ",Master,Full-time,English,Online
USA,Cambridge,,weeks,15,,,,,,,,MicroMasters Program in Statistics and Data Science (Massachusetts Institute of Technology),edX,This MicroMasters program in Statistics and Data Science is comprised of four online courses and a virtually proctored exam that will provide you with the foundational knowled                                            ...                                                    +                        ,Master,Full-time,English,Online
USA,Cambridge,Sep,weeks,10,,,,,,,,MicroMasters Program in Data Science (UC San Diego),edX,"Gain the critical skills needed to become a data scientist, rated one of the best jobs in America and in demand globally.                                    ",Master,Full-time,English,Online
USA,Cambridge,,weeks,6,,,,,,,,"MicroMasters Program in Algorithms and Data Structures (The University of California, San Diego)",edX,Master algorithmic programming techniques necessary for top software engineering professions.                                    ,Master,Full-time,English,Online
France,Nice,Sep,years,24,,,,,,,,MSc in Data Sciences,Université Côte d’Azur (UCA),"Join the most strategic field of the digital economy and learn its fundamental methods and algorithms with the ""Data Science"" MSc program at Université Côte d'Azur!                                    ",Master,Full-time,English,Campus
France,Nice,,years,24,,,,,,,,MSc in Biobanks and Complex Data Management,Université Côte d’Azur (UCA),"The MSc in ""Biobanks and Complex Data Management"" opens immediate career opportunities in a variety of sectors such as human health, pharmaceutical, and biotechnology industri                                            ...                                                    +                        ",Master,Full-time,Multiple,Campus
France,Nice,,years,24,,,,,,,,MSc Mathematical Sciences for Biomedical Data and Biophysics,Université Côte d’Azur (UCA),"Computational biology is a multidisciplinary approach addressing and solving current problems in biology and medicine using methodologies stemming from mathematics, physical s                                            ...                                                    +                        ",Master,Full-time,Multiple,Campus
Australia,Toowoomba,,years,36,,,,,,,,Bachelor of Information and Technology (Data Analytics),University of Southern Queensland (USQ),"With constant advances in technology, internet speed, and social media, professionals are facing the challenge of capturing, storing, transferring and organizing large quantit                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Germany,Berlin,Mar,semesters,,,,,,,,,B.Sc. Digital Business & Data Science,University of Applied Sciences Europe,This study program is aimed specifically at students who are curious and have the creativity to imagine and the aspiration to learn and develop something new that impact the w                                            ...                                                    +                        ,Bachelor,Full-time,Multiple,Campus
Germany,Hamburg,Mar,semesters,,,,,,,,,B.Sc. Digital Business,University of Applied Sciences Europe,"""Big Data"" and data analytics are the foundation for big business success for (global) companies like Google, Facebook or Amazon. With our degree program Digital Business                                    ",Bachelor,Full-time,German,Campus
USA,Winona,,,,,,,,,,,Master of Science in Business Intelligence and Data Analytics,Saint Mary's University of Minnesota Online,"Master your use of big data, presentation, and business to explain the relationship between organizational problems and strategizing successful solutions. Affordable, convenie                                            ...                                                    +                        ",Master,Full-time,English,Online
Germany,Aachen,Oct,semesters,,,,,,,,,M.Sc. Data Analytics and Decision Science,RWTH Business School / RWTH Aachen University,This exciting new master course is designed at the intersection of the fields of Data Analytics and Decision Science (Operations Research) and graduates will learn how to comb                                            ...                                                    +                        ,Master,Full-time,English,Campus
France,Palaiseau,,years,24,,,,,,,,MSc Data Science For Business (Double Degree with HEC),École Polytechnique,Ecole Polytechnique and our partner business school HEC Paris offer a new two-year joint graduate degree program in “Data Science for Business”. It aims at training students i                                            ...                                                    +                        ,Master,Full-time,English,Campus
France,Palaiseau,,years,24,,,,,,,,Internet of Things: Innovation and Management Program (IoT-IM) Master,École Polytechnique,The Internet of Things: Innovation and Management Program (IoT-IM) Graduate Degree is based on the Ecole Polytechnique’s trademark multidisciplinary approach and provides you                                             ...                                                    +                        ,Master,Full-time,English,Campus
France,Palaiseau,Sep,years,24,,,,,,,,"Economics, Data Analytics and Corporate Finance Master",École Polytechnique,"The Economics, Data Analytics and Corporate Finance program equips students with the quantitative methodology and real-world experience required for a thorough economic traini                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Hoboken,,years,24,,,,,,,,Master in Data Science,Stevens Institute of Technology - Graduate Studies,Learn the theoretical knowledge and practical skills necessary to analyze big data for functional application in business and technology.                                    ,Master,Full-time,English,Campus
USA,Syracuse,Sep,years,24,,,,,,,,Master of Science in Enterprise Data Systems,Syracuse University - iSchool,"The MS in Enterprise Data Systems (EDS) from the iSchool is designed for students who want to prepare professionals to manage, design, support and optimize the infrastructure                                             ...                                                    +                        ",Master,Full-time,English,Campus
USA,Syracuse,Sep,years,24,,,,,,,,Master of Science in Applied Data Science,Syracuse University - iSchool,The MS in Applied Data Science prepares students with the practical analytical and technical skills to apply analytical concepts to gain insight from small and large datasets.                                            ...                                                    +                        ,Master,Full-time,English,Campus
Belgium,Mechelen,Sep,years,36,,,,,,,,"Bachelor in Information Management and Multimedia - International Data Science, Protection & Security specialization",Thomas More University of Applied Sciences,"Are you passionate about the newest digital tools that help make organizations more intelligent? Do you want to learn how to filter valuable information from a mass of data, h                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
USA,Harrisburg,,years,24,,,,,,,,MS Analytics,Harrisburg University,"Harrisburg University’s Master of Science (M.S.) in Analytics degree program is designed for students with a strong background in mathematics, computer science, engineering, o                                            ...                                                    +                        ",Master,Online & Campus Combined,English,Online & Campus Combined
Spain,Barcelona,,,,,,,,,,,Master in Omic Data Analysis,Universitat de Vic,The aim of the Master is to produce well-trained professionals in Bioinformatics and Omics Data Analysis who after graduation would be able to perform efficient and rigorous a                                            ...                                                    +                        ,Master,Part-time,English,Campus
Netherlands,Amsterdam,,months,,,,,,,,,Master of Science in Data Science,European Leadership University,The Master in Data Science programme consists of 60 ECTS credits coursework with a final project. Our programmes are flexible and work-based: Study from anywhere in the world                                             ...                                                    +                        ,Master,Online & Campus Combined,English,Online & Campus Combined
Italy,Milan,,years,24,,,,,,,,Master of Science in Data Science and Economics,University of Milan,The Master of Science in “Data Science and Economics” (DSE) responds to the training needs of data scientists in the economic field. The course provides skills to analyze and                                             ...                                                    +                        ,Master,Full-time,English,Campus
India,Dehradun,Jul,,,,,,,,,,BBA Analytics and Big Data,UPES,BBA Analytics and Big Data                                    ,BBA,,,
United Kingdom,Birmingham,Apr,years,,48,,,,,,,BSc (Hons) Digital & Technology Solutions (Arden University),Ulearn,Arden University offers a degree designed to help you fulfil this business need. The BSc (Hons) Digital and Technology Solutions Degree has 3 different specialist pathways: So                                            ...                                                    +                        ,Bachelor,Online & Campus Combined,English,Online & Campus Combined
Belgium,Antwerp,Sep,years,24,,,,,,,,Master of Computer Science (M.Sc.),University of Antwerp,"This Master’s program focusses on developing skills for research and development in computer science. Students get first-hand experience in a challenging, creative, dynamic an                                            ...                                                    +                        ",Master,Full-time,English,Campus
Czech Republic,Prague,,years,24,,,,,,,,Master in Software and Data Engineering,Charles University Faculty of Mathematics and Physics,"The study branch Software and Data Engineering aims at expertise in the analysis, design, and development of complex software solutions and systems focused on big data process                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Vienna,Sep,,,,,,,,,,MSc in Data Management and Analytics,IGlobal University,The Master of Science in Information Technology (MSIT) program is designed to prepare students for the knowledge and skills essential to lead and manage small to large corpora                                            ...                                                    +                        ,Master,Full-time,English,Campus
United Kingdom,Belfast,,,,,,,,,,,MSc in Data Analytics,QUB Faculty of Engineering and Physical Sciences (EPS),"Data Analytics is an exciting field of rapid developments. Data is everywhere and continuing to grow massively, creating huge growth in demand for qualified experts to be able                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Bellevue,,,,,,,,,,,Bachelor of Applied Science Degree Data Analytics,Bellevue College,"The Bachelor of Applied Science in Data Analytics provides graduates with the skills and knowledge needed for employment in the rapidly emerging field of data analytics, which                                            ...                                                    +                        ",Bachelor,,English,Campus
USA,Washington,Jan,,,,,,,,,,Master of Science in Government Analytics,"Johns Hopkins University, Advanced Academic Programs",The Master of Science in Government Analytics prepares students to become leaders in the data revolution. Students will develop expertise in analytical methods that are increa                                            ...                                                    +                        ,Master,Part-time,English,Online
Russia,Yekaterinburg,Sep,years,24,,,,,,,,Master in Practical Data Analysis,Ural Federal University,The program focuses on various applications of data science and data analysis. You will learn how to build artificial intelligence systems using state-of-the-art machine learn                                            ...                                                    +                        ,Master,Full-time,English,Campus
Finland,Tampere,Aug,years,24,,,,,,,,Master's Degree Programme in Computing Science – Statistical Data Analytics,Tampere University,"Statistical Data Analytics (M.Sc.) teaches you to understand data analysis and master necessary skills, such as data cleansing, integration, modelling and prediction, and inte                                            ...                                                    +                        ",Master,Full-time,English,Campus
Finland,Tampere,Aug,years,24,,,,,,,,Master's Degree Programme in Computing Science – Data Science,Tampere University,"Big data and data-driven methods are at the centre of modern computer science, statistics and computer engineering and hold great promise for the future. Data Science (M.Sc.)                                             ...                                                    +                        ",Master,Full-time,English,Campus
Spain,Madrid,,,,,,,,,,,Master in Data Science and Business Analytics for Professionals,IMF Business School,"IMF Business School , in collaboration with the Nebrija University, launches the Master in Data Science and Business Analytics for professionals. This program aims to provide                                             ...                                                    +                        ",Master,Full-time,Spanish,Campus
Spain,Barcelona,,years,24,,,,,,,,Master of Data Science,Harbour Space,The MSc Data Science program is designed for those who desire to deepen their comprehension of all aspects of the data sciences. Applicants could be graduates from other degre                                            ...                                                    +                        ,Master,Full-time,English,Campus
France,Troyes,,,,,,,,,,,Mastère Spécialisé® Expert in Big Analytics and Metrics,Université de technologie de Troyes - UTT,"Expert's objective in Big Analytics and Metrics is to design, develop and pilot innovative solutions to address the complexity of managing and analyzing these large amounts of                                            ...                                                    +                        ",Master,Full-time,Multiple,Campus
Spain,Online,May,months,,,,,,,,,Master in Big Data and Analytics,OBS - Three Points Digital Business School,Change the way you analyze your organization to transform it into a data driven company. Online program with the possibility of a face-to-face stay in Barcelona.                                    ,Master,Online & Campus Combined,Spanish,Online & Campus Combined
USA,Davenport,Jan,years,48,,,,,,,,Bachelor of Science in Data Science and Analytics,St. Ambrose University,"If you love working with and manipulating numbers, analyzing outcomes, and helping others understand how data can work for them, a degree in Data Science and Analytics from St                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Hungary,Budapest,Aug,years,24,,,,,,,,Master in Data Science (DSC),EIT Digital Master School,"Data abounds. Social media, manufacturing systems, medical devices, logistic services, and countless others generate petabytes of data on a daily basis. With a wealth of data                                             ...                                                    +                        ",Master,Full-time,English,Campus
USA,Fairfax,Sep,,,,,,,,,,Master of Science in Data Analytics Engineering,George Mason University Online,"Gain the deep statistical knowledge and technical savviness you need to advance to data scientist, engineer and analyst roles. You'll learn to deliver a process that transform                                            ...                                                    +                        ",Master,Part-time,English,Online
Spain,Online,Sep,,,,,,,,,,Master in Training in Industry 4.0 and Digital Transformation,UADIN Business School,"In UADIN, University of Development and Innovation, together with UDIMA, the distance University of Madrid, we want to contribute with an Integral Training for Industry 4.0 an                                            ...                                                    +                        ",Master,Full-time,Spanish,Online
USA,Findlay,Aug,years,48,,,,,,,,Bachelor in Computer Science,The University of Findlay,"Prepare yourself for technological careers needed in today’s corporations. University of Findlay Computer Science students learn object-oriented programming languages, client/                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
United Kingdom,London,Apr,,,,,,,,,,MSc in Data Science,University of London,"Learn how to apply technology to real-world data science problems and gain an in-depth understanding of emerging technologies, statistical analysis and computational technique                                            ...                                                    +                        ",Master,Full-time,English,Online
USA,Washington,Jan,years,48,,,,,,,,Bachelor of Science in Data Science,"Bay Atlantic University - Washington, D.C.","BAU’s program in Data Science integrates scientific methods from statistics, computer science, and data-based business management to extract knowledge from data and drive deci                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
United Arab Emirates,Academic City,Sep,years,48,,,,,,,,BSc (Hons) in Computer Science (Data Science),Heriot-Watt University Dubai,"Our BSc Computer Science (Data Science) degree focuses on constructing robust and useable systems. As well as looking at cutting edge tools and techniques, it’s designed to he                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
United Arab Emirates,Academic City,Jan,,,,,,,,,,MSc in Data Science,Heriot-Watt University Dubai,"You will learn how to model, store and process these data sets using the latest algorithms and techniques and about modern methods and tools for visually exploring them. The c                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,New York,Sep,,,,,,,,,,"Data Science, M.S.",New York Institute of Technology (NYIT),"Our networked world is drowning in data, affecting the way business, government, science, and healthcare are conducted. The NYIT Data Science, M.S. is designed to help profess                                            ...                                                    +                        ",Master,Full-time,English,Campus
France,Dijon,Sep,,,,,,,,,,MSc Data Science & Organisational Behaviour,Burgundy School of Business,The MSc Data Science & Organisational Behaviour is dedicated to students who want to manage data and influence behaviours                                    ,Master,Full-time,English,Campus
France,Biot,Mar,,,,,,,,,,Applied MSc in Data Science & Artificial Intelligence,Data ScienceTech Institute,"This 6-month of classes and 6-month internship Applied MSc program, with its two entries in Autumn and Spring, is designed to open your career to these Big Data Analytics jobs                                            ...                                                    +                        ",Master,Online & Campus Combined,English,Online & Campus Combined
France,Biot,Feb,,,,,,,,,,Applied MSc in Data Engineering for Artificial Intelligence,Data ScienceTech Institute,"This 6-month of classes and 6-month internship Applied MSc program, with its two entries in Autumn and Spring, is designed to open your career to these Big Data Engineering jo                                            ...                                                    +                        ",Master,Online & Campus Combined,English,Online & Campus Combined
USA,Palo Alto,Sep,months,,,,,,,,,Master of Science in Data Science,Contemporary Technology University,"Become a Data Scientist by mastering the skills to interpret data, formulate insights, and communicate your knowledge by applying machine learning, managing large data sets, a                                            ...                                                    +                        ",Master,Online & Campus Combined,,Online & Campus Combined
,,,years,24,,,,,,,,Master's Degree in Data Analytics for Business and Society,Ca' Foscari University of Venice,The course is designed for students who have studied economics or business who have a strong interest in quantitative methods and the use of big data for maintaining and incre                                            ...                                                    +                        ,Master,Full-time,English,Campus
United Kingdom,Bath,Sep,months,,,,,,,,,Online MSc in Business Analytics,University of Bath Online,"Bridging the gap between data science and business management, the University of Bath’s Business Analytics online MSc equips you with the necessary technical skills and knowle                                            ...                                                    +                        ",Master,Part-time,English,Online
United Kingdom,Cardiff,,years,,48,,,,,,,BSc (Hons) Data Science,Cardiff Metropolitan University,"Data Science is the field of scientific methods, processes, and algorithms that allow the gleaning of knowledge or intelligence from data in its various forms.                                    ",Bachelor,Full-time,English,Campus
USA,Medford,Aug,years,24,,,,,,,,MSc in Data Analytics,Tufts University - Graduate School of Arts and Sciences,"An interdisciplinary program that provides graduate students with a competitive edge in developing analytical skills to interpret data across disciplines, translating it into                                             ...                                                    +                        ",Master,Full-time,English,Campus
USA,Waltham,Sep,years,24,,,,,,,,Master in Marketing Analytics,Bentley University - McCallum Graduate School of Business,Program features: develops the critical expertise in qualitative and quantitative analysis that is in high demand among leading companies across a range of industries; teaches                                            ...                                                    +                        ,Master,Full-time,English,Campus
Italy,Santa Maria Capua Vetere,Oct,years,36,,,,,,,,Bachelor Degree in Data Analytics,"University of Campania ""Luigi Vanvitelli""",You should enroll in the program because you will master the skills you need to establish a successful Data Science career. You will learn how to analyze data and communicate                                             ...                                                    +                        ,Bachelor,Full-time,English,Campus
USA,De Kalb,Jun,,,,,,,,,,Master of Science in Data Analytics,Northern Illinois University Online,"Learn to use big data to form and implement effective strategies in a management role. Northern Illinois University's online, AACSB-accredited M.S. in Data Analytics program p                                            ...                                                    +                        ",Master,Full-time,English,Online
Cyprus,Nicosia,Oct,,,,,,,,,,MSc in Simulation and Data Science,The Cyprus Institute,Simulation and Data Science is a unique course in Cyprus that combines Simulation with the new field of Data Science. As computers speed up and instruments and sensors become                                             ...                                                    +                        ,Master,Full-time,English,Campus
Germany,Berlin,Apr,months,,,,,,,,,MSc Data Analytics and Information Systems Management,"Arden Study Centre, Berlin",Big Data is going to be worth $102bn by 2019 according to IDC research which means organisations will need skilled analysts to maximise the opportunities it has to offer. This                                            ...                                                    +                        ,Master,Full-time,English,Campus
Germany,Berlin,Apr,months,,,,,,,,,MSc Data Analytics and Marketing,"Arden Study Centre, Berlin","Learn a range of essential marketing skills, including analysing statistics and interpreting large sets of data, with this programme delivered and awarded by Arden University.                                            ...                                                    +                        ",Master,Full-time,English,Campus
Spain,Madrid,,months,,,,,,,,,Master in Big Data Science,University of Navarra,"The Executive Master in Big Data Science (MEBDS) was born as a response to this new reality: it offers a technical program and, at the same time, very practical: it has a mult                                            ...                                                    +                        ",Master,Full-time,Spanish,Campus
Italy,Bolzano,Oct,years,24,,,,,,,,Master in Computational Data Science,Free University of Bozen-Bolzano,"Our master programme will provide you with the key competencies that you will need to develop next-generation information systems used to describe and manage data, discover ne                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Utica,,months,,,,,,,,,Master of Science in Data Science: Cybersecurity,Utica College Online,The Online MS in Data Science - Cybersecurity teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core cour                                            ...                                                    +                        ,Master,Part-time,English,Online
USA,Utica,,months,,,,,,,,,Master of Science in Data Science: Financial Crime,Utica College Online,The Online MS in Data Science – Financial Crime teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core co                                            ...                                                    +                        ,Master,Part-time,English,Online
USA,Utica,,months,,,,,,,,,Master of Science in Data Science: Social Science Analytics,Utica College Online,The Online MS in Data Science - Social Science Analytics teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields                                            ...                                                    +                        ,Master,Part-time,English,Online
USA,Utica,,months,,,,,,,,,Master of Science in Data Science,Utica College Online,The Online MS in Data Science teaches students how to analyze and leverage big data to gain valuable insights that can lead to innovative ideas and solutions in a variety of f                                            ...                                                    +                        ,Master,Part-time,English,Online
USA,Utica,,months,,,,,,,,,Master of Science in Data Science: Business Analytics,Utica College Online,The Online MS in Data Science - Business Analytics teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core                                            ...                                                    +                        ,Master,Part-time,English,Online
United Arab Emirates,Dubai,Sep,,,,,,,,,,MSc in Professional Studies: Data Analytics,Rochester Institute of Technology (RIT) Dubai,This program prepares participants for successful careers helping organizations make better decisions through analytics. It prepares participants to work effectively with comp                                            ...                                                    +                        ,Master,Full-time,English,Campus
USA,Indianapolis,Aug,semesters,,,,,,,,,Master of Science in Data Analytics,"University of Indianapolis, School of Business","Data in all forms continues to expand and become more readily available to both businesses and the consumer. As this happens, the demand for those who can interpret and apply                                             ...                                                    +                        ",Master,Full-time,English,Campus
Germany,Potsdam,Oct,semesters,,48,,,,,,,Bachelor of Science in Data Science,XU University,In which sectors is machine learning being used today? Where does the potential lie for tomorrow and in the future? Not only does our bachelor’s program in Data Science provid                                            ...                                                    +                        ,Bachelor,Full-time,Multiple,Campus
Germany,Potsdam,Oct,semesters,,36,,,,,,,Master of Science in Data Science,XU University,Which competencies and profiles are needed to form a successful team? And how does leadership even work today? Our master’s program in Data Science will not only give you answ                                            ...                                                    +                        ,Master,Full-time,Multiple,Campus
Germany,Lüneburg,Oct,semesters,,,,,,,,,Master in Management & Data Science,Leuphana University of Luneburg,The Mas­ters pro­gram­me in Management & Data Science is ge­a­red towards stu­dents wan­ting to ad­van­ce their skills in the data ana­ly­sis of real-world pheno­me­na.                                            ...                                                    +                        ,Master,Full-time,English,Campus
Russia,Stavropol,Sep,years,24,,,,,,,,Master Data Management,Северо-Кавказский федеральный университет,"Training in the master's program will allow you to learn: on the basis of system analysis, carry out a formalization of the subject area and an assessment of the complexity of                                            ...                                                    +                        ",Master,Full-time,Multiple,Campus
Russia,Stavropol,Sep,years,24,,,,,,,,Master in Data Management,Северо-Кавказский федеральный университет,This Master's program is for training qualified specialists able to formalize subject areas and assess the complexity of designed and implemented information systems of data m                                            ...                                                    +                        ,Master,Full-time,Multiple,Campus
Netherlands,Nijmegen,Sep,years,24,,,,,,,,MSc in Data Science,Radboud University,"Data plays a role in almost every scientific discipline, business industry, or social organization. Learn how to use software and algorithms to turn real-world data sets into                                             ...                                                    +                        ",Master,Full-time,English,Campus
United Kingdom,Saint Andrews,Sep,,,,,,,,,,MSc in Data-Intensive Analysis,University of St Andrews,The MSc in Data-Intensive Analysis is an interdisciplinary course providing students with an understanding of how data is used to gain useful insights in all areas of scientif                                            ...                                                    +                        ,Master,Full-time,English,Campus
United Kingdom,Saint Andrews,Sep,,,,,,,,,,MSc in Applied Statistics and Datamining,University of St Andrews,The PGDip/MSc in Applied Statistics and Datamining is a commercially relevant programme of study providing students with the statistical data analysis skills needed for busine                                            ...                                                    +                        ,Master,Full-time,English,Campus
Hong Kong,Kowloon Tong,Sep,,,,,,,,,,MSc in Data Analytics and Business Economics (MScDABE),Hong Kong Baptist University (HKBU) School of Business,The Master of Science in Data Analytics and Business Economics is thoughtfully designed to serve the increasing demand for talents in the area of data analytics and business e                                            ...                                                    +                        ,Master,Full-time,English,Campus
USA,Brookville,,,,,,,,,,,Master of Science in Data Analytics and Strategic Business Intelligence,"Long Island University, Post Campus","The College of Management (C.O.M.) at L.I.U. Post offers a new, 30-credit, specialized Master of Science in Data Analytics and Strategic Business Intelligence program (M.D.A.)                                            ...                                                    +                        ",Master,Full-time,English,Campus
Netherlands,Amsterdam,Sep,years,36,,,,,,,,Bachelor in Econometrics and Operations Research: Econometrics and Data Science,Vrije Universiteit Amsterdam,"During the bachelor's programme in Econometrics and Data Science at VU Amsterdam, you will learn how to solve problems in business, economics and finance, using data science t                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Netherlands,Amsterdam,,,,,,,,,,,Master in Econometrics and Operations Research: Econometrics and Data Science,Vrije Universiteit Amsterdam,"In our specialization Econometrics and Data Science of the Econometrics and Operations Research master's program, we welcome you in the fast-developing world of econometrics a                                            ...                                                    +                        ",Master,Full-time,English,Campus
Netherlands,Amsterdam,,,,,,,,,,,Master in Econometrics and Operations Research: Marketing Data Science,Vrije Universiteit Amsterdam,Marketing Data Science is a specialization of the Econometrics and Operations Research master's program. This hands-on study into econometric methods for analyzing marketing d                                            ...                                                    +                        ,Master,Full-time,English,Campus
Netherlands,Amsterdam,,,,,,,,,,,Master in Finance: Duisenberg Honours Programme in Finance and Technology,Vrije Universiteit Amsterdam,"Data science: a shock to the financial system, or its biggest opportunity? The availability of big data, in combination with rapidly increasing computing power, is uncovering                                             ...                                                    +                        ",Master,Full-time,English,Campus
Lebanon,Beirut,Oct,semesters,,,,,,,,,Master in Data Science,Saint Joseph University of Beirut,"We live in a data-driven world that’s generating huge volumes of information at ever-increasing rates, via social media, financial transactions, telecommunications, and even s                                            ...                                                    +                        ",Master,Full-time,English,Campus
Australia,Adelaide,,months,,,,,,,,,Master of Science in Information Technology (Business Intelligence and Data Analytics) 21-Month Track,Carnegie Mellon University in Australia,"The MSIT-BIDA program combines a comprehensive information technology and management curriculum with BIDA courses, a compulsory 400 hours of internship and an industry-based D                                            ...                                                    +                        ",Master,Full-time,English,Campus
United Kingdom,London,,,,,,,,,,,MSc in Data-Driven Management,Thames Education Group Limited,Would you like to apply data analysis tools and techniques to solve complex business problems? This programme helps you advance your career by teaching you how to communicate                                             ...                                                    +                        ,Master,Full-time,English,Campus
USA,Providence,Sep,,,,,,,,,,Master of Science in Data Analytics,Johnson & Wales University,"In a world driven by increasingly vast and complex data, employees are needed to decipher that data quickly and efficiently to help companies make more-informed business decis                                            ...                                                    +                        ",Master,,English,Campus
Norway,Oslo,Aug,years,36,,,,,,,,Bachelor in Applied Data Science (Online and On-Campus),Noroff School of Technology and Digital Media,IT education focusing on the growing global need for big data analytics. Applied Data Science teaches you scientific methods for working with data in a practical and relevant                                             ...                                                    +                        ,Bachelor,Full-time,English,Campus
Belgium,Ghent,Sep,years,24,,,,,,,,Master of Science in Business Engineering - Data Analytics,Ghent University - Faculty of Economics and Business Administration,"A business engineer has a thorough knowledge of the discipline of business administration and technology, i.e. technological products and processes. In this respect, a busines                                            ...                                                    +                        ",Master,Full-time,English,Campus
Switzerland,Zurich,,,,,,,,,,,Online MSc Data Analytics - University of Cumbria (UK),Robert Kennedy College,The MSc Data Analytics is designed to accommodate a broad audience of learners whose particular pursuits in data analytics might be either technical or business-focused. The p                                            ...                                                    +                        ,Master,Full-time,English,Online
USA,Rochester,Aug,years,24,,,,,,,,Master of Science in Data Science,Rochester Institute of Technology (RIT),Demand is high for professionals skilled in both analytics and computing. Enhance your skillset by learning to manage large-scale data sets in this highly applied program.                                    ,Master,Full-time,English,Campus
France,Bordeaux,Sep,,,,,,,,,,Master in Public Health Data Science,University of Bordeaux,"This international Master program provides a year of international research into public health data science, from project design to real-life health data analysis and the comm                                            ...                                                    +                        ",Master,Full-time,English,Campus
Netherlands,Maastricht,Sep,years,36,,,,,,,,Bachelor in Data Science and Knowledge Engineering,"Maastricht University, Department of Data Science and Knowledge Engineering","Knowledge is central to modern society. Smart chips help companies keep track of goods and manage supplies and stocks. New, high-tech communication devices, such as mobile pho                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Australia,Sydney,Jan,years,36,,,,,,,,Bachelor of Data Science,S P Jain School of Global Management Singapore,90 percent of data in the world today has been created in the last 2 years alone.                                    ,Bachelor,Full-time,English,Campus
USA,Dobbs Ferry,,months,,,,,,,,,Master in Computer Science,Mercy College,The Master of Science (M.S.) degree in Computer Science (CS) provides an innovative curriculum involving two specializations – Software Development and Data Science.                                    ,Master,Online & Campus Combined,English,Online & Campus Combined
Russia,Moscow,Mar,years,24,,,,,,,,Online Master of Data Science,Высшая школа экономики,Russia's first English-taught Master's programme which is implemented entirely online on Coursera learning platform. This programme aims to train highly qualified specialists                                             ...                                                    +                        ,Master,Full-time,English,Campus
Australia,Adelaide,Jan,years,36,,,,,,,,Bachelor of Information Technology and Data Analytics,University of South Australia Online,"Combining two highly sought after areas of technology – data analytics and information technology – this degree will help you enter the workforce, or advance your career in th                                            ...                                                    +                        ",Bachelor,Full-time,English,Online
