Land,Stadt,Start,Laufzeit [Typ],"Laufzeit [min,m]","Laufzeit [max,m]",Schule-1,rank_overall,rank_presence,rank_impact,rank_open,rank_excellence,Studiengang,Schule,Beschreibung,Abschluss,Modus,Sprache,Unterrichtstyp
USA,Erie,Sep,years,24,,Mercyhurst University,4599,6566,1812,5389,6084,Master of Science in Data Science,Mercyhurst University,"The data science master's degree program educates students to collect, analyze, visualize, and communicate actionable insights for data-driven business decisions. A master's d                                            ...                                                    +                        ",Master,Full-time,English,Campus
Philippines,Makati,,months,,,Asian Institute of Management,5065,13956,6945,5239,5178,Master of Science in Data Science (MSDS),Asian Institute of Management,"A four-term, 14-month full-time program which includes 10-core data science modules and 15 business and or management modules, with 2 electives and 1 capstone project that req                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Henniker,,,,,New England College,5435,5138,1909,7356,6084,Master of Science in Data Analytics and Business Statistics,New England College,"With the growth of the digital age businesses and organizations have had access to unprecedented amounts of data. In order to turn this data into a competitive advantage, busi                                            ...                                                    +                        ",Master,Full-time,English,Campus
Saudi Arabia,Riyadh,Sep,semesters,,,Princess Nourah Bint Abdulrahman University,5667,8003,6610,2964,6084,MSc in Computing (Data Analytics),Princess Nourah Bint Abdulrahman University,"This program opens up opportunities for students who envision to shine in their career prospect in data analytics in acquiring in-depth skills and knowledge to analyze, proces                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Buffalo,May,years,48,,Medaille College,5678,10973,2069,7356,6084,Bachelor in Applied Mathematics,Medaille College,"Students will complete a program that is anchored by fundamentals of computing, programming, databases, data mining, financial risk, and analysis, which is the root of study f                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
France,Montpellier,Sep,months,,,Montpellier Business School,5879,10375,6710,3292,6084,MSc in Digital Transformation,Montpellier Business School,"Through this program, you will understand and consider the effects of the digital revolution. The lectures, seminars and case studies all along the year will give you the tool                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Morristown,Sep,months,,,College of Saint Elizabeth,5890,11751,2323,7356,6084,MS in Data Analytics,College of Saint Elizabeth,The Master of Science in Data Analytics Program at CSE will prepare graduates with the knowledge and skill set necessary to become analytics and data science professionals. Th                                            ...                                                    +                        ,Master,Part-time,,Campus
United Kingdom,Coventry,Apr,months,,,Arden University,9654,17587,6914,7356,6084,MSc Data Analytics and Enterprise Architecture,Arden University,Getting ahead of change is essential in this rapidly evolving technological environment. The online MSc Data Analytics and Enterprise Architecture programme from Arden Univers                                            ...                                                    +                        ,Master,Full-time,English,Online
United Kingdom,Coventry,Apr,months,,,Arden University,9654,17587,6914,7356,6084,MSc Data Analytics & Human Resource Management,Arden University,"The modern workplace relies on data, and those with the skills to handle and interpret an organisation’s data are in high demand. This MSc Data Analytics & Human Resource                                             ...                                                    +                        ",Master,Full-time,English,Online
United Kingdom,Coventry,Apr,months,,,Arden University,9654,17587,6914,7356,6084,MSc Data Analytics & Project Management,Arden University,"The modern workplace relies on data, and those with the skills to handle and interpret an organisation’s data are in high demand. This MSc Data Analytics & Project Managem                                            ...                                                    +                        ",Master,Full-time,English,Online
United Kingdom,London,,months,,,,,,,,,MSc in Data Science,City University of London,"Data science is an emerging new area of science. With City’s MSc in Data Science, you can develop the skills and knowledge to analyse data in many forms and communicate insigh                                            ...                                                    +                        ",Master,Full-time,English,Campus
Botswana,Palapye,Feb,,,,,,,,,,BSc Information Systems & Data Management,Botswana International University Of Science And Technology,"This scientific discipline addresses the range of strategic, managerial, and operational activities involved in the gathering, processing, storing, distributing, and use of in                                            ...                                                    +                        ",Bachelor,,English,Campus
Botswana,Palapye,Feb,,,,,,,,,,MSc Information Systems & Data Management,Botswana International University Of Science And Technology,MSc Thesis Research in Information Systems & Data Management                                    ,Master,,English,Campus
Sweden,Borlänge,Sep,years,24,,,,,,,,Master in Data Science,Högskolan Dalarna,Harness the power of data analytics to solve the practical problems of companies and organizations worldwide.                                    ,Master,Full-time,English,Campus
France,Paris,,,,,,,,,,,International Bachelor Modelling and Data Science for a changing World,University Paris Seine,"Data science, cybersecurity, economic and financial engineering, artificial intelligence, quantum technologies… are all great challenges which companies face today and which r                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
France,Nantes,Sep,,,,,,,,,,Master in Data Science,Université de Nantes,"Through this program, students will acquire the scientific and technological skills towards a data scientist profile within a computer science degree.                                    ",Master,Full-time,English,Campus
Czech Republic,Ostrava,Sep,years,24,,,,,,,,Master in Industry 4.0,VSB - Technical University of Ostrava,Study program Industry 4.0 is a new and prospective study program that connects Computer Science and Cybernetics into a unique form. Students will be introduced into new trend                                            ...                                                    +                        ,Master,Full-time,English,Campus
Belgium,Ghent,Sep,,,,,,,,,,Master of Science in Statistical Data Analysis,Ghent University - Faculty of Sciences,Increasing computer power and the professional need to extract objective information from observed data have led to complex databases. Statistical science has become a broad d                                            ...                                                    +                        ,Master,,English,Campus
Sweden,Malmö,Aug,years,24,,,,,,,,Master in Computer Science: Applied Data Science,Malmö University,This interdisciplinary two-year master’s program will provide you with an understanding of the state-of-the-art methods and algorithms of data science through hands-on experie                                            ...                                                    +                        ,Master,Full-time,English,Campus
