Institution;Studiengang;Kontinent;Land;Stadt;Start;Min.Studiumsdauer [%m];Max.Studiumsdauer [%m];Abschlusstyp;Modus;Sprache;Unterrichtstyp;Beschreibung;Gesamt-Rang;Aktueller-Rang;Impact-Rang;Open-Rang;Excellence-Rang
Utica College Online;Master of Science in Data Science;Nordamerika;USA;Utica;;;;Master;Part-time;English;Online;The Online MS in Data Science teaches students how to analyze and leverage big data to gain valuable insights that can lead to innovative ideas and solutions in a variety of f                                            ...                                                    +                        ;;;;;
Utica College Online;Master of Science in Data Science: Business Analytics;Nordamerika;USA;Utica;;;;Master;Part-time;English;Online;The Online MS in Data Science - Business Analytics teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core                                            ...                                                    +                        ;;;;;
XU University;Master of Science in Data Science (in planning);Europa;Germany;Potsdam;Oct;;36;Master;Full-time;Multiple;Campus;Which competencies and profiles are needed to form a successful team? And how does leadership even work today? Our master’s program in Data Science will not only give you answ                                            ...                                                    +                        ;;;;;
XU University;Bachelor of Science in Data Science;Europa;Germany;Potsdam;Oct;;48;Bachelor;Full-time;Multiple;Campus;In which sectors is machine learning being used today? Where does the potential lie for tomorrow and in the future? Not only does our bachelor’s program in Data Science provid                                            ...                                                    +                        ;;;;;
Северо-Кавказский федеральный университет;Master Data Management;Asien;Russia;Stavropol;Sep;24;;Master;Full-time;Multiple;Campus;Training in the master's program will allow you to learn: on the basis of system analysis, carry out a formalization of the subject area and an assessment of the complexity of                                            ...                                                    +                        ;;;;;
Северо-Кавказский федеральный университет;Master in Data Management;Asien;Russia;Stavropol;Sep;24;;Master;Full-time;Multiple;Campus;This Master's program is for training qualified specialists able to formalize subject areas and assess the complexity of designed and implemented information systems of data m                                            ...                                                    +                        ;;;;;
Saint Joseph University of Beirut;Master in Data Science;Asien;Lebanon;Beirut;Oct;;;Master;Full-time;English;Campus;We live in a data-driven world that’s generating huge volumes of information at ever-increasing rates, via social media, financial transactions, telecommunications, and even s                                            ...                                                    +                        ;;;;;
Thames Education Group Limited;MSc in Data-Driven Management;Europa;United Kingdom;London;;;;Master;Full-time;English;Campus;Would you like to apply data analysis tools and techniques to solve complex business problems? This programme helps you advance your career by teaching you how to communicate                                             ...                                                    +                        ;;;;;
Robert Kennedy College;Online MSc Data Analytics - University of Cumbria (UK);Europa;Switzerland;Zurich;;;;Master;Full-time;English;Online;The MSc Data Analytics is designed to accommodate a broad audience of learners whose particular pursuits in data analytics might be either technical or business-focused. The p                                            ...                                                    +                        ;;;;;
Noroff School of Technology and Digital Media;Bachelor in Applied Data Science (Online and On-Campus);Europa;Norway;Oslo;Aug;36;;Bachelor;Full-time;English;Campus;IT education focusing on the growing global need for big data analytics. Applied Data Science teaches you scientific methods for working with data in a practical and relevant                                             ...                                                    +                        ;;;;;
Rochester Institute of Technology (RIT);Master of Science in Data Science;Nordamerika;USA;Rochester;Aug;24;;Master;Full-time;English;Campus;Demand is high for professionals skilled in both analytics and computing. Enhance your skillset by learning to manage large-scale data sets in this highly applied program.                                    ;;;;;
IUBH Online;Master of Science in Data Science;Europa;Germany;Bad Honnef;;;;Master;Full-time;English;Online;Innovation springs from bright minds - our international Master program puts you into the driver seat of your future career in Data Science. Graduates from our courses go to b                                            ...                                                    +                        ;;;;;
Mercy College;Master in Computer Science;Nordamerika;USA;Dobbs Ferry;;;;Master;Online & Campus Combined;English;Online & Campus Combined;The Master of Science (M.S.) degree in Computer Science (CS) provides an innovative curriculum involving two specializations – Software Development and Data Science.                                    ;;;;;
S P Jain School of Global Management Singapore;Bachelor of Data Science;Australia;Australia;Sydney;Jan;36;;Bachelor;Full-time;English;Campus;90 percent of data in the world today has been created in the last 2 years alone.                                    ;;;;;
Высшая школа экономики;Online Master of Data Science;Asien;Russia;Moscow;Mar;24;;Master;Full-time;English;Campus;Russia's first English-taught Master's programme which is implemented entirely online on Coursera learning platform. This programme aims to train highly qualified specialists                                             ...                                                    +                        ;;;;;
IESEG School of Management Lille - Paris;Master of Science in Big Data Analytics for Business;Europa;France;Lille;Sep;;;Master;Full-time;English;Campus;Join our MSc in Big Data Analytics for Business: a one-year program completely taught in English at one of the top business schools in France on our Lille campus.                                    ;;;;;
ELISAVA Barcelona School of Design and Engineering;Master in Data and Design;Europa;Spain;Barcelona;Sep;;;Master;Full-time;English;Campus;How can we make information transcendent for humans? In the Master in Data and Design you will learn to design the way of understanding the world. The Master in Data and Desig                                            ...                                                    +                        ;;;;;
