Institution;Studiengang;Kontinent;Land;Stadt;Start;Min.Studiumsdauer [%m];Max.Studiumsdauer [%m];Abschlusstyp;Modus;Sprache;Unterrichtstyp;Beschreibung;Gesamt-Rang;Aktueller-Rang;Impact-Rang;Open-Rang;Excellence-Rang
University Ca Foscari of Venice;Master's Degree in Data Analytics for Business and Society;;;;;24;;Master;Full-time;English;Campus;The course is designed for students who have studied economics or business who have a strong interest in quantitative methods and the use of big data for maintaining and incre                                            ...                                                    +                        ;807;652;825;748;1149
University of Southern Queensland;Bachelor of Information and Technology (Data Analytics);Australia;Australia;Toowoomba;;36;;Bachelor;Full-time;English;Campus;With constant advances in technology, internet speed, and social media, professionals are facing the challenge of capturing, storing, transferring and organizing large quantit                                            ...                                                    +                        ;821;1910;880;831;1070
The New School;Data Visualization (MS);;;;;;;Master;Full-time;English;Campus;Parsons’ Master of Science in Data Visualization is a multidisciplinary program in which students develop skills bringing together visual design, computer science, statistical                                            ...                                                    +                        ;871;2276;272;1210;1956
Stevens Institute of Technology;Master in Data Science;Nordamerika;USA;Hoboken;;24;;Master;Full-time;English;Campus;Learn the theoretical knowledge and practical skills necessary to analyze big data for functional application in business and technology.                                    ;878;4390;1005;654;1116
College of Charleston;Data Science and Analytics, M.S.;Nordamerika;USA;Charleston;Jun;;36;Master;Full-time;English;Campus;Graduates of this degree program will master the following core skills: Data Modeling, Data Wrangling, Experimental Design, Statistics, Optimization, Machine Learning, and Dat                                            ...                                                    +                        ;952;1456;581;1122;1747
University of Bradford;MSc in Logistics, Data Analytics and Supply Chain Management;Europa;United Kingdom;Bradford;Sep;;;Master;Full-time;English;Campus;Our new Master’s programme in Logistics, Data Analytics and Supply Chain Management is designed for those considering broadening their knowledge beyond their existing discipli                                            ...                                                    +                        ;975;2585;1436;730;1147
University of Bradford;MSc in Big Data Science and Technology;Europa;United Kingdom;Bradford;Sep;;;Master;Full-time;English;Campus;This programme will deepen your understanding of advanced software development, systems for big data analytics, statistical data analysis, data mining, data privacy and securi                                            ...                                                    +                        ;975;2585;1436;730;1147
University of Westminster;MA in Data, Culture and Society;Europa;United Kingdom;London;;;;Master;Full-time;English;Campus;We live in an age where almost everything of what we do is connected to data. Big data and datafication - the increasing transformation of multiple aspects of everyday lives i                                            ...                                                    +                        ;980;2491;904;1229;1398
VSB - Technical University of Ostrava;Master in Industry 4.0;Europa;Czech Republic;Ostrava;Sep;24;;Master;Full-time;English;Campus;Study program Industry 4.0 is a new and prospective study program that connects Computer Science and Cybernetics into a unique form. Students will be introduced into new trend                                            ...                                                    +                        ;1004;308;1270;1405;1308
 Università Commerciale Luigi Bocconi Milano;MSc in Data Science and Business Analytics;Europa;Italy;Milan;;24;;Master;Full-time;English;Campus;This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be                                             ...                                                    +                        ;1008;1819;2079;517;1064
